*2025/09/10/00:00 업데이트

OUI		OUI(:)		OUI(소문자)	OUI(:소문자)			제조사
------------------------------------------------------------------------------------------------------------------------------------------
F4-2E-48   	F4:2E:48   	f4-2e-48   	f4:2e:48   			zte corporation
AC-D7-5B   	AC:D7:5B   	ac-d7-5b   	ac:d7:5b   			Sagemcom Broadband SAS
B4-C2-E0   	B4:C2:E0   	b4-c2-e0   	b4:c2:e0   			Bouffalo Lab (Nanjing) Co., Ltd.
04-09-86   	04:09:86   	04-09-86   	04:09:86   			Arcadyan Corporation
48-1B-A4   	48:1B:A4   	48-1b-a4   	48:1b:a4   			Cisco Systems, Inc
F0-EE-7A   	F0:EE:7A   	f0-ee-7a   	f0:ee:7a   			Apple, Inc.
20-3A-EB   	20:3A:EB   	20-3a-eb   	20:3a:eb   			zte corporation
58-76-B3   	58:76:B3   	58-76-b3   	58:76:b3   			Ubee Interactive Co., Limited
E8-70-72   	E8:70:72   	e8-70-72   	e8:70:72   			Hangzhou BroadLink Technology Co.,Ltd
D8-DA-F1   	D8:DA:F1   	d8-da-f1   	d8:da:f1   			HUAWEI TECHNOLOGIES CO.,LTD
54-44-3B   	54:44:3B   	54-44-3b   	54:44:3b   			HUAWEI TECHNOLOGIES CO.,LTD
5C-70-75   	5C:70:75   	5c-70-75   	5c:70:75   			HUAWEI TECHNOLOGIES CO.,LTD
CC-03-FA   	CC:03:FA   	cc-03-fa   	cc:03:fa   			Vantiva USA LLC
48-F7-C0   	48:F7:C0   	48-f7-c0   	48:f7:c0   			Vantiva USA LLC
48-00-33   	48:00:33   	48-00-33   	48:00:33   			Vantiva USA LLC
14-98-7D   	14:98:7D   	14-98-7d   	14:98:7d   			Vantiva USA LLC
58-23-8C   	58:23:8C   	58-23-8c   	58:23:8c   			Vantiva USA LLC
80-B2-34   	80:B2:34   	80-b2-34   	80:b2:34   			Vantiva USA LLC
84-17-EF   	84:17:EF   	84-17-ef   	84:17:ef   			Vantiva USA LLC
A4-56-CC   	A4:56:CC   	a4-56-cc   	a4:56:cc   			Vantiva USA LLC
70-03-7E   	70:03:7E   	70-03-7e   	70:03:7e   			Vantiva USA LLC
44-1C-12   	44:1C:12   	44-1c-12   	44:1c:12   			Vantiva USA LLC
5C-76-95   	5C:76:95   	5c-76-95   	5c:76:95   			Vantiva USA LLC
AC-4C-A5   	AC:4C:A5   	ac-4c-a5   	ac:4c:a5   			Vantiva USA LLC
00-CB-7A   	00:CB:7A   	00-cb-7a   	00:cb:7a   			Vantiva USA LLC
